C,CPP,Java,Python,Ruby,R
227.2782726,228.3454094,538.749765,4871.301779,9957.796638,732.1395655
228.2644841,227.1973057,531.1374014,4886.749457,9991.656433,728.1524993
232.2007061,232.7889545,541.124498,4896.398976,9981.961893,729.4350939
230.7272417,223.5296521,539.1186754,4874.43389,9993.684727,731.1440915
229.7968672,228.4865521,539.6303414,4872.383295,10056.37562,727.9164219
226.2848024,230.3359995,526.5954104,4875.547716,10014.93423,728.9382756
228.3771318,229.875411,534.2542384,4875.056114,10030.53914,736.6094005
229.7626813,226.7024699,525.5332258,4882.908562,10012.19853,729.6980001
231.3211149,233.0775123,534.4411274,4875.368424,10045.91467,728.7505366
230.1705261,232.5054068,538.3168446,4873.893796,10019.63447,730.0173791
228.3795354,229.0351072,530.12993,4875.762623,9999.071764,726.7977439
227.6854821,232.4701873,525.8257956,4899.26902,10018.57701,735.9120966
228.9142405,228.2130815,531.7703556,4882.928489,10084.35308,728.1952704
228.0132941,227.2663941,525.8847686,4900.71962,9981.595076,729.9133641
230.075958,229.0631061,531.3216262,4875.356409,10056.45386,730.4194541
228.5734721,230.3833902,525.769292,4876.832191,9978.132675,731.2637471
227.8457662,236.6257011,529.3127324,4887.360676,10009.0549,732.3919907
229.4602986,235.7153599,528.9286572,4882.140795,10000.09061,733.1539637
229.2150771,227.3259153,537.496922,4895.737159,10026.10196,730.6191357
233.8417825,234.2521242,537.8017828,4887.736396,10038.13582,728.2210846
227.4077136,235.6083348,534.0674769,4881.972484,10033.90918,729.8303314
229.8598337,235.6320854,532.8462375,4868.321054,10019.69418,732.4154412
226.8615693,239.0197188,533.6517116,4882.881852,9991.105369,730.9784333
228.4819031,228.4737296,533.6043558,4883.513868,9989.803516,732.7547573
226.7050683,231.0559817,541.5944489,4869.244659,10006.69971,725.7421429
229.5985934,229.9197289,537.081338,4871.977879,9995.048781,730.8960821
227.9386901,224.8973699,544.6366764,4879.150048,10047.13122,731.0349849
228.365243,231.1090811,530.9301182,4888.624144,10022.01299,733.6172375
230.1259793,237.4558826,535.7510391,4882.039954,9972.781265,731.3968033
232.4137823,230.0839679,532.889686,4884.28822,10075.99964,731.5676381
