c,cpp,java,python,ruby,r
114.711827,114.189457,550.806881,5258.075486,10266.84073,769.341501
115.825256,110.483643,564.177794,5239.922616,10245.76435,717.465994
100.396036,114.064251,489.233878,5219.681595,10188.69349,756.614505
108.335701,108.322497,504.273771,4752.873609,10204.176,725.416748
100.725682,108.247277,571.58006,5212.225067,9363.17708,751.897814
100.177089,99.991673,548.902459,4755.689276,9369.403508,710.613172
141.715976,108.223378,558.102599,4743.419327,10285.89373,756.176225
107.187812,99.893484,546.893692,5204.26969,10202.18043,692.767881
106.530019,100.081964,491.740278,5206.951706,9547.128462,691.508244
99.771104,108.05718,494.366731,4750.542372,9337.781899,736.023245
100.650756,100.397383,524.972127,5216.622748,9332.668659,753.06043
100.234441,99.035874,527.608409,4744.177773,9610.541003,682.638517
108.223062,108.183199,489.621292,4800.470926,10251.90527,748.588903
99.30689,107.110321,485.578276,5200.836585,10267.06595,753.634122
108.181486,99.403713,523.268076,5198.955514,9642.501289,686.882206
108.200687,101.068342,488.545251,4903.1448,9569.83406,745.218794
100.649125,108.298884,523.539425,4885.274824,10203.19133,763.513117
108.079241,100.752401,503.103051,5222.573294,10212.19488,693.742896
102.517189,106.95645,524.094537,5250.778632,10204.21815,746.478937
101.061484,101.877131,535.009722,5211.27653,10306.42256,694.78994
111.660498,111.031305,529.499916,5211.994221,10179.01402,763.327095
108.254072,108.336167,552.621363,5215.015737,10223.98879,745.078575
107.914452,108.612452,525.511065,5201.695826,10798.7987,747.826516
107.530664,107.931723,520.494029,,,796.3086
108.642266,106.815607,533.526224,,,751.67337
108.15757,108.289818,527.627456,,,751.19304
,,526.143695,,,
