C,CPP,Java,Python,Ruby,R,,C,CPP,Java,Python,Ruby,R
346.17328,379.41626,726.3315333,3243.699453,8498.3102,1790.113013,,408.0431,371.1509,721.4599,3261.888,8531.145,1788.42
469.6708733,387.4755733,770.4781733,3404.830033,9112.266887,1818.991553,,,,,,,
453.58174,376.1993867,721.4128133,3257.81262,8526.10946,1721.991947,,,,,,,
403.6595133,409.5323867,717.4452067,3280.015067,8476.683933,1726.812713,,,,,,,
384.58074,348.0884133,717.41542,3310.859647,8606.075107,1772.542767,,,,,,,
469.5376667,361.98186,722.4248133,3236.63326,8523.939587,1769.94632,,,,,,,
401.4459133,366.3778,720.5741133,3224.550473,8508.820073,1767.68352,,,,,,,
457.1350867,346.0599467,720.5000533,3273.62314,8500.12726,1724.966107,,,,,,,
383.0260333,363.2304933,722.9592933,3243.68494,8523.506667,1792.20792,,,,,,,
451.7827733,364.17802,717.29038,3274.550987,8512.036233,1790.327907,,,,,,,
443.9529,345.5613867,715.80404,3251.026873,8516.251867,1779.639873,,,,,,,
400.4309333,364.79082,713.3805267,3270.23942,8528.216033,1724.400027,,,,,,,
434.40044,367.0865467,715.0209933,3276.145247,8470.914347,1788.79396,,,,,,,
475.3172667,364.18566,720.0771467,3244.646547,8519.19432,1792.098833,,,,,,,
453.3004067,345.4296333,716.6302733,3236.859247,8528.996773,1722.016473,,,,,,,
381.7705933,368.0012467,718.8666533,3260.327887,8502.39852,1786.695747,,,,,,,
460.7728467,363.0267733,718.65752,3263.642293,8478.584713,1786.74058,,,,,,,
422.3087333,362.76064,716.2804933,3256.531133,8477.78064,1789.411733,,,,,,,
401.52734,347.0768267,732.5578267,3283.53444,8494.724167,1792.645593,,,,,,,
470.51604,368.1780067,720.8488533,3247.095993,8512.069167,1796.68596,,,,,,,
440.0453733,371.3416067,716.9026267,3249.763567,8523.200593,1763.10942,,,,,,,
345.6266733,400.4855467,721.08796,3252.342513,8517.88558,1750.161447,,,,,,,
363.3895933,457.1088867,718.7261133,3249.330767,8509.14922,1758.190973,,,,,,,
371.1134333,453.9099933,722.4012,3246.40806,8527.62226,1775.31104,,,,,,,
345.2271267,348.1814867,718.3492133,3258.133393,8495.181327,1757.311193,,,,,,,
367.9853667,368.253,714.8309,3237.05466,8510.834327,1916.761113,,,,,,,
370.3559733,362.94698,720.1696333,3260.178247,8502.97542,1965.30218,,,,,,,
363.9868533,364.78508,723.0577267,3261.31834,8518.17318,1856.581493,,,,,,,
347.1013933,344.0857467,724.34938,3259.500947,8520.813733,1777.396513,,,,,,,
361.5706667,364.7908267,718.96676,3242.299247,8491.500487,1897.764653,,,,,,,
