c,cpp,java,python,ruby,r
107.715021,107.353582,522.943949,5197.149966,10188.86562,748.504451
106.549323,108.150088,525.872497,5206.689594,10199.21449,747.286375
107.943737,104.43884,552.827296,5092.694222,10211.00737,731.896792
107.808247,106.394811,524.140931,5106.094224,9999.1231,749.209229
106.284445,105.883061,561.779419,5204.616449,9965.774902,727.073991
106.160745,105.689797,528.080178,5126.517485,9978.739323,726.87712
104.532401,106.403061,536.466083,5092.79127,10046.46364,724.010924
106.098194,106.132959,526.680314,5106.313904,10018.55049,769.583505
106.339897,105.785993,525.926956,5094.075536,9988.637281,727.151034
104.419979,105.937819,567.798713,5082.719552,,744.348046
