C,CPP,Java,Python,Ruby,R
416.2301,298.0191,764.4898,3153.9445,9829.2991,6899.9469
341.5944,304.3152,761.6942,3161.7906,8049.6181,1602.1932
388.2815,325.2006,763.846,3173.757,8070.0899,1491.9919
315.0432,298.478,791.4873,3235.6804,8051.4999,1528.1225
314.4952,302.9039,741.9228,3172.7746,8109.964,1647.3659
314.8865,297.4561,777.9527,3173.6758,8038.8752,1587.2681
323.6673,300.5179,765.5258,3152.2313,8042.4883,1579.8225
1155.575,295.4505,776.9801,3172.0061,8045.4485,1530.2203
313.5092,583.3049,763.759,3169.7649,8030.9205,1580.0004
326.7601,312.0804,784.9302,3154.4133,8039.7415,2473.1943
313.7365,312.5975,764.8461,3170.2721,8052.0418,1570.9715
311.9505,297.7633,748.5113,3164.3727,8133.1445,1671.8684
312.8929,297.9547,749.0541,3157.929,8041.3999,1802.6333
312.726,296.9865,778.1907,3174.75,8045.3048,1786.8859
311.6065,313.9945,769.6448,3165.1783,8037.1048,1758.7124
316.1897,304.447,740.4981,3173.4375,8108.6352,1710.121
596.6306,671.3431,766.5941,3152.8127,8040.7403,1741.0983
342.72,304.9279,739.9487,3170.675,8050.5167,1736.421
333.7741,302.1404,785.4696,3174.3774,8036.2123,2470.6681
323.8339,305.5539,769.2821,3173.921,8054.902,1752.758
314.2822,324.2248,747.5968,3152.2018,8056.0069,1728.135
316.9967,304.2555,778.0586,3155.7236,8034.684,1714.5752
313.1621,305.6545,742.6962,3172.5352,8044.6372,1663.6354
312.9155,302.226,744.0602,3162.2917,8069.9899,1592.3406
326.5022,324.3442,782.1725,3150.7542,8018.7892,1812.5934
602.9516,1481.2638,789.0016,3162.6623,8062.3581,1710.5043
315.8854,305.6162,776.7762,3149.5856,8039.422,1688.2334
332.7452,302.3784,773.59,3163.492,8028.2981,2619.3098
302.5128,307.3206,776.8456,3181.7317,8034.1144,1787.6461
310.9241,303.8734,756.8033,3178.9677,8030.6151,1918.938
306.1453,298.886,746.2813,3159.4943,8075.2162,1708.0106
300.4971,301.0312,775.665,3171.7258,8070.7395,1727.6303
309.4453,303.7357,753.0447,3186.0571,8048.7427,1514.2199
305.1459,299.59,755.4743,3168.7972,8097.873,1906.1663
1123.0682,576.9162,754.2273,3190.5544,8223.5068,1786.4458
319.6881,765.496,830.3816,3252.8143,8059.848,1789.9821
314.1163,308.6179,857.3159,3183.8571,8071.0968,1769.4826
304.7447,313.6239,750.165,3171.9115,8070.1742,2578.7915
306.0644,304.1844,753.0807,3183.1552,8064.3258,1765.8299
301.6005,294.166,759.015,3155.6263,8058.026,1770.2382
302.1739,294.3032,759.1302,3168.7945,8065.244,1846.2075
301.0955,294.9636,746.7959,3165.6672,8045.2919,1642.4572
295.2181,299.7398,734.2013,3186.2948,8046.4307,1839.1402
1185.5533,593.5342,763.7547,3151.7898,8048.9738,1870.138
302.045,301.8002,778.662,3154.7843,8048.3413,1809.549
299.0377,301.6865,737.3596,3171.4674,8042.6994,1806.7007
308.4902,301.8302,779.662,3260.8682,8083.2025,2695.949
308.9375,290.8594,754.2443,3235.3395,8046.0112,1730.2396
313.1557,293.6126,771.8251,3170.1059,8067.9835,1922.0255
299.8703,299.1788,740.6176,3162.5478,8043.2093,1718.1696
300.5296,296.5129,739.7184,3171.0771,8061.2318,1721.8774
299.1786,298.7696,774.2433,3188.3901,8048.3705,1862.962
293.1136,576.2461,743.1452,3140.972,8035.9801,1687.3861
576.6664,296.9146,762.4129,3146.2681,8056.8311,1813.7002
297.2526,295.5637,780.5125,3159.2478,8062.1324,1728.0046
311.1599,324.0074,763.479,3154.7229,8054.5293,2616.8907
307.2734,296.2298,745.1876,3148.8961,8040.6639,1693.1176
304.643,302.5113,740.7566,3171.3363,8059.9573,1630.9745
296.8009,292.5635,747.1283,3153.3566,8056.1391,1807.7984
297.3114,294.2545,772.3654,3175.0025,8054.1695,1774.6437
301.3665,293.8744,780.6128,3153.6847,8061.6453,1720.7102
1129.1474,578.2542,776.0132,3165.9839,8058.2523,1632.8396
311.093,298.0457,775.7197,3165.4411,8047.6892,1793.9396
298.3883,311.1213,749.7015,3171.9804,8100.8366,2452.6204
313.257,297.4853,754.6417,3156.5413,8038.4206,1823.6784
294.2787,296.7766,750.4192,3167.8603,8046.1298,1732.2685
325.622,295.624,768.7637,3144.4322,8029.1426,1725.2201
304.0012,288.9947,735.8125,3150.9095,8047.8722,1831.3404
